mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu
18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite
16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst
15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl
14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw)
22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster
18.0,6,199.0,97.0,2774.0,15.5,70,1,amc hornet
21.0,6,200.0,85.0,2587.0,16.0,70,1,ford maverick
26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.0,2672.0,17.5,70,2,peugeot 504
26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002
21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin
10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20
11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200
19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin
19.0,6,250.0,88.0,3302.0,15.5,71,1,ford torino 500
18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador
14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500
14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii
13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw)
22.0,4,140.0,72.0,2408.0,19.0,71,1,chevrolet vega (sw)
19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
18.0,6,250.0,88.0,3139.0,14.5,71,1,ford mustang
31.0,4,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200
35.0,4,72.0,69.0,1613.0,18.0,71,3,datsun 1200
27.0,4,97.0,60.0,1834.0,19.0,71,2,volkswagen model 111
26.0,4,91.0,70.0,1955.0,20.5,71,1,plymouth cricket
13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal
15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw)
22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw)
23.0,4,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw)
27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350
14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador
13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu
14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino
15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom
13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic
14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan
13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham
12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom
13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham
18.0,6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant
16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom
18.0,6,250.0,88.0,3021.0,16.5,73,1,ford maverick
11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala
20.0,4,97.0,88.0,2279.0,19.0,73,3,toyota carina
21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6
26.0,4,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe
15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s
29.0,4,68.0,49.0,1867.0,19.5,73,2,fiat 128
24.0,4,116.0,75.0,2158.0,15.5,73,2,opel manta
20.0,4,114.0,91.0,2582.0,14.0,73,2,audi 100ls
19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea
15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom
24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le
11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega
20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster
26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto
25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega
18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring
13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw)
14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw)
29.0,4,98.0,83.0,2219.0,16.5,74,2,audi fox
26.0,4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher
26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta
31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona
24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128
19.0,6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom
15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick
14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd
18.0,6,225.0,95.0,3785.0,19.0,75,1,plymouth fury
20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2
13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii
29.0,4,97.0,75.0,2171.0,16.0,75,3,toyota corolla
20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin
23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro
25.0,4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher
18.0,6,171.0,97.0,2984.0,14.5,75,1,ford pinto
19.0,6,232.0,90.0,3211.0,17.0,75,1,amc pacer
23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls
23.0,4,120.0,88.0,2957.0,17.0,75,2,peugeot 504
33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc
28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131
25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900
25.0,4,140.0,92.0,2572.0,14.9,76,1,capri ii
26.0,4,98.0,79.0,2255.0,17.7,76,1,dodge colt
27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl
17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic
14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino
22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant
22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova
24.0,6,200.0,81.0,3012.0,17.6,76,1,ford maverick
24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody
29.0,4,90.0,70.0,1937.0,14.2,76,2,vw rabbit
33.0,4,91.0,53.0,1795.0,17.4,76,3,honda civic
20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se
18.0,6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia
17.5,6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l
32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210
28.0,4,97.0,75.0,2155.0,16.4,76,3,toyota corolla
26.5,4,140.0,72.0,2565.0,13.6,76,1,ford pinto
13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8
19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii
16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s
16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville
13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108
13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100
36.0,4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl
33.5,4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback
17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic
17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme
15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham
15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham
20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark
19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom
18.5,6,250.0,98.0,3525.0,19.0,77,1,ford granada
16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj
16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird
29.0,4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom
24.5,4,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe
26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback
30.5,4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette
33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m
22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810
21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4
36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc
20.2,6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto)
20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare
20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special
18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen
18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l
19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau
18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura
17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe
16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl
21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6
19.8,6,200.0,85.0,2990.0,18.2,79,1,mercury zephyr 6
20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6
17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic
17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau
16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw)
15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
34.1,4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe
35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom
27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl
25.4,5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d
23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado
23.9,8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham
34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon
37.3,4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom
28.4,4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited
33.5,4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix
41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit
32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette
37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310
28.0,4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation
19.1,6,225.0,90.0,3381.0,18.7,80,1,dodge aspen
34.3,4,97.0,78.0,2188.0,15.8,80,2,audi 4000
32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla
44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel)
43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel)
30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d
35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe
26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark
25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet
32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru
37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel
34.1,4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4
32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx
28.1,4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel
25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima
22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century
26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl
17.6,6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon
27.0,4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door
29.0,4,135.0,84.0,2525.0,16.0,82,1,dodge aries se
36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l
31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom
36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe
36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord
34.0,4,108.0,70.0,2245.0,16.9,82,3,toyota corolla
38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx
38.0,6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l
32.0,4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt
36.0,4,135.0,84.0,2370.0,13.0,82,1,dodge charger 2.2
27.0,4,151.0,90.0,2950.0,17.3,82,1,chevrolet camaro
27.0,4,140.0,86.0,2790.0,15.6,82,1,ford mustang gl
32.0,4,135.0,84.0,2295.0,11.6,82,1,dodge rampage
28.0,4,120.0,79.0,2625.0,18.6,82,1,ford ranger
31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10
