time,counts,error
1.0000E-01,0.00000E+00,0.0000
1.1000E+00,0.00000E+00,0.0000
2.1000E+00,0.00000E+00,0.0000
3.1000E+00,9.49527E+01,0.9995
4.1000E+00,1.26179E+03,0.2758
5.1000E+00,2.19830E+03,0.2108
6.1000E+00,2.29946E+03,0.2061
7.1000E+00,2.79983E+03,0.1863
8.1000E+00,2.39898E+03,0.2017
9.1000E+00,1.39982E+03,0.2654
1.0100E+01,2.99972E+02,0.5765
1.1100E+01,4.99970E+02,0.4461
1.2100E+01,6.99936E+02,0.3766
1.3100E+01,6.99933E+02,0.3766
1.4100E+01,6.99880E+02,0.3766
1.5100E+01,4.99701E+02,0.4461
1.6100E+01,4.87745E+02,0.4467
1.7100E+01,4.99844E+02,0.4461
1.8100E+01,2.99931E+02,0.5765
1.9100E+01,2.99893E+02,0.5765
2.0100E+01,3.99897E+02,0.4990
2.1100E+01,2.99964E+02,0.5765
2.2100E+01,2.99970E+02,0.5765
2.3100E+01,2.99963E+02,0.5765
2.4100E+01,1.99928E+02,0.7064
2.5100E+01,9.99927E+01,0.9995
2.6100E+01,0.00000E+00,0.0000
2.7100E+01,2.99805E+02,0.5765
2.8100E+01,1.99960E+02,0.7064
2.9100E+01,5.99557E+02,0.4070
3.0100E+01,1.99780E+02,0.7064
3.1100E+01,1.99964E+02,0.7064
3.2100E+01,9.98011E+01,0.9995
3.3100E+01,9.98502E+01,0.9995
3.4100E+01,9.99315E+01,0.9995
3.5100E+01,9.99907E+01,0.9995
3.6100E+01,3.99765E+02,0.4990
3.7100E+01,2.86713E+02,0.5777
3.8100E+01,9.99773E+01,0.9995
3.9100E+01,1.99898E+02,0.7064
4.0100E+01,1.99979E+02,0.7064
4.1100E+01,9.99954E+01,0.9995
4.2100E+01,0.00000E+00,0.0000
4.3100E+01,9.98563E+01,0.9995
4.4100E+01,9.98752E+01,0.9995
4.5100E+01,1.99889E+02,0.7064
4.6100E+01,0.00000E+00,0.0000
4.7100E+01,9.98604E+01,0.9995
4.8100E+01,2.99887E+02,0.5765
4.9100E+01,9.98806E+01,0.9995
5.0100E+01,0.00000E+00,0.0000